,answer_text,content,diner_date,id_comment,id_resto,other_ratings_category,other_ratings_value,rating,rating_date,resto,resto_url,reviewer_info_sup,reviewer_origin,reviewer_pseudo,title,url
0,"['Thank you so much Eutalika for your amazing 5 star review, we are thrilled that you enjoyed the experience so much, my Bokan team are thrilled. We are really looking forward to welcoming you back soon. Jacqui & The Bokan Family']","[""Highly recommend the food! The most amazing location and the best chefs!great view, amazing food, exciting flavours that I've never tried before! I went with my friends and with my family! Great place for romantic dinner ❤""]", February 2020,g186338-d12156905-r746568155,g186338-d12156905,[],[],5,21 February 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '1']]","['Canterbury, United Kingdom']",eutalika,Amazing food,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r746568155-Bokan_37_Restaurant-London_England.html
1,"['Wow Jean Yves, your review is amazing. We just loved reading and sharing it with our talent. Thank you so much and we look forward to welcoming you back for another Magnifique experience soon. Jacqui & The Bokan Family']","['Whaou ', 'It’s really really good, ', 'We’re passionned about good gastromy in France, and this restaurant it´s absolutely perfect!', 'The view is fantastic ', 'The food is fabulous ', 'The service is so nice ', 'Always it’s really perfect ', 'Again thanks you for this moment fantastic ', '«the better restaurant in London\xa0» ']", January 2020,g186338-d12156905-r739899453,g186338-d12156905,[],[],5,18 January 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '11'], ['thumbs-up-fill', '6']]","['Golfe-Juan Vallauris, France']",JeanyvesTov,MAGNIFIQUE ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r739899453-Bokan_37_Restaurant-London_England.html
2,['Thank you Kevin T for sharing your experience from last night. I am so sorry that we disappointed you. I have spoken with Ornella who looked after you and we really wish you had let us know that you were disappointed with us so we could have rectified this before you left. If you would contact me directly on h9057-gm@accor.com I would appreciate it. Kind regards. Jacqui McMillan - General Manager'],"['We were on site so decided to visit. We shared a few starters and a main with a couple of cold beers. We arrived as the restaurant opened and were told there were only two lobsters left if that was what we fancied. Hopeless...The starters were good, we enjoyed those but when the mains finally arrived over an hour later all were dry and tasteless. For close to £ 300 pounds you would expect much, much better and I won’t bother again. Enjoy....']", January 2020,g186338-d12156905-r741474592,g186338-d12156905,[],[],2,27 January 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '528'], ['thumbs-up-fill', '170']]","['Auckland, New Zealand']",satanbug,Much better out there......,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r741474592-Bokan_37_Restaurant-London_England.html
3,['Thank you so much Maylis N for this fabulous review and I am so happy you and your brother enjoyed your time with us. Guillaume is so creative and his flavours are amazing. Of course Florian compliments the food beautifully with the service. We are really looking forward to welcoming you back soon. Jacqui & The Bokan Family'],"[""My brother and I went to Bokan for dinner last week and I'll surely return."", 'First, the view, breath-taking! Maybe one of the best in London. ', 'Then the service, brilliant. Professional, precise, very knowledgeable and lovely staff.', 'And the food! Outstanding! The young Head chef, French and talented, is so creative. The association of flavors and textures, gorgeous. ', ""It's been a long time I've had such a surprising and delightful dinner. "", 'Modernity weds UK sourced products with perfection. The menu is intelligent, using local and seasonal products, artistic, plates are wonderful, and nearly magical, making octopus dance gracefully with clementine and chocolate is definitely magic.', ""Go there with no hesitation, you won't be desappointed!"", 'Congratulations to this young and efficient team lead by the charming Florian.']", January 2020,g186338-d12156905-r738963228,g186338-d12156905,[],[],5,13 January 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '1']]",[],maylisn2020,A wonder,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r738963228-Bokan_37_Restaurant-London_England.html
4,['Thank you so much Justine R for this beautiful 5 star review about your recent experience in Bokan. We are thrilled that you and your partner enjoyed this special time with us and I hope we can welcome you back soon. Jacqui & The Bokan Family'],"['We went to dinner with my partner in this restaurant, and we came out absolutely smitten. The setting and the view are sublime, the atmosphere is warm, the team is very professional, and the dishes will amaze you with their flavours. ', 'I highly recommend to spend a pleasant moment under all plans.']", January 2020,g186338-d12156905-r739999991,g186338-d12156905,[],[],5,19 January 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '1']]",[],justine-royer85,Beautiful as Well as good ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r739999991-Bokan_37_Restaurant-London_England.html
5,['Thank you Elena T for your review. I have spoken with length with Florian who I know you spoke with on Saturday also. I would rally appreciate it if you could contact me directly on h9057-gm@accor.com to discuss these issues. I am so sorry and look forward to hearing from you. Kind regards. Jacqui McMillan - General Manager'],"['I dined here with friends on a Saturday night, restaurant was not crazy busy and we had a wonderful table by the window with an amazing view. This was the only positive point I can say about my dinner experience. It was not the first time for me here, I visited the bar and the restaurant few times and this was very disappointing: we went with the tasting menu and between the first 3 courses we waited a crazy amount of time (30/40 minutes) and we then asked if it was possible to speed up a little bit. After our request was taken very seriously and we did not even have the time to finish the following course that we have our plate cleared and the new course on the table.', 'The service was bland, not attentive at all. Clearing the table a waitress dropped a fork on my friend’s dress and did not even apologise! She looked at my friend like it was her fault. ', 'What is more I mentioned in the booking notes, I called and I sent an email as it was a special birthday celebration and I was reassured that they would have presented a celebration cake at the table. We had dessert, we had coffe, asked for the bill.... celebration plate never arrived.', 'This is not what you expect when you pay almost £500 for a dinner not even in a Michelin star or anything like that.', 'I won’t be back in the restaurant for sure.']", January 2020,g186338-d12156905-r741502709,g186338-d12156905,[],[],2,27 January 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '6'], ['thumbs-up-fill', '5']]","['London, United Kingdom']",elenatX4465YE,Disappointed ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r741502709-Bokan_37_Restaurant-London_England.html
6,"['We absolutely love your 5 star review Hallie14, thank you so much for sharing this. To be one of your best restaurant experiences you have had in London makes us really proud. We are really looking forward to welcoming you back soon. Jacqui & The Bokan Family']","['Took my friend for her birthday it was one of the best restaurants experiences I have had in London. The staff was so so helpful and could not do enough to help you and spoke us over everything we ate and drank. ', 'We went for the 6 course tasting menu which was amazing choice and served so nicely and on request not when they wanted us to have it. It is a great relaxing restaurant.']", January 2020,g186338-d12156905-r741703006,g186338-d12156905,[],[],5,28 January 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '294'], ['thumbs-up-fill', '155']]","['London, United Kingdom']",Hallie14,"Great food, service and amazing views",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r741703006-Bokan_37_Restaurant-London_England.html
7,"['Thank you Richard A for your review and I am so sad to read your feedback. Please be assured that you are not just a number to us, we really do value you. I would really appreciate it Richard if you could contact me directly on h9057-gm@accor.com so I can personally look after you and your future bookings with us. I really hope that we can have another chance as we have looked after you so well for 2 years I would really appreciate the opportunity to fix this issue and personally make sure you have a great evening with the table you wish for. I look forward to hearing from you. Kind regards. Jacqui McMillan - Bokan General Manager']","[""For about 2 years I've dinned at Bokan approximately 4 times a month and maybe even more. I even chose Bokan for Christmas lunch. I think I could be considered a good, if not a very loyal client. I have never pulled rank, never asked for special treatment and never got stressed out over the placement of the table. I have now planned a dinner for 6 at Bokan next month. For this one time I asked if I could reserve a table of my choice for this very special group of people to experience the restaurant. I was told very plainly and clearly ..... NO, IT IS NOT OUR POLICY! I was even told by one staff member that if I came 2 hours in advance of the dinner at 6pm I could then take the table of my choice because the place would be empty !!!! Now, I have been dining in the best restaurants in the world for about 60 years in fact long before any of the Bokan staff could even spell the word restaurant. The fact that for one time I'm not able to book a table of my choice proves several facts. 1. There is no restaurant / customer loyalty. 2. The management of the restaurant really has no idea what world class dining is about! 3. The customers of Bokan are merely a number and the place clearly caters to the transient diner with whom they need not establish a rapport or a relationship with. Considering this attitude of Bokan I will take my custom as well as my friends elsewhere. We will dine on the special evening mentioned at C. London (Cipriani) where I can book the table I feel comfortable at, where the table linens are as exquisite as the food and the white uniformed staff is smiling, courteous, and care about me ...... the customer. Goodbye Bokan. Your mediocre service will not take you far. By the way, The Ivy In The Park is also a wonderful restaurant that cares about their clients.""]", January 2020,g186338-d12156905-r743086109,g186338-d12156905,"['Value', 'Service', 'Food']","['30', '10', '40']",3,4 February 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '17'], ['thumbs-up-fill', '34']]","['London, United Kingdom']",Richard A,THE WORST CUSTOMER LOYALTY IN LONDON! MCDONALDS STYLE MANAGEMENT & ATTITUDE WITH BETTER FOOD.,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r743086109-Bokan_37_Restaurant-London_England.html
8,"[""Thank you so much Eutalia L for sharing your amazing experience at Bokan, thank you so much! My team are thrilled with your feedback and we can't wait to welcome you back soon. Jacqui & The Bokan Family""]",['The best food cooked by amazing chefs# served by very friendly staff! Amazing view as well! Highly recommend the restaurant # '], February 2020,g186338-d12156905-r746567050,g186338-d12156905,[],[],5,21 February 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '1']]",[],eutalial2019,Amazing cuisine ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r746567050-Bokan_37_Restaurant-London_England.html
9,"['Oh Shelley4096 thank you so much for this fabulous 5 star review about your bottomless brunch, we are thrilled that you never had an empty glass and of course that you loved the amazing food. We are really looking forward to welcoming you back soon. Jacqui & The Bokan Family']","['What a great place we chose for our bottomless brunch, never once had an empty glass for two hours! Never rushed us off the table. Stayed all afternoon. The food was AMAZING. Staff were great and can’t wait to return. Oh and the views are incredible even in Storm Dennis!! ']", February 2020,g186338-d12156905-r745907605,g186338-d12156905,[],[],5,18 February 2020,Bokan_37_Restaurant,/Restaurant_Review-g186338-d12156905-Reviews-Bokan_37_Restaurant-London_England.html,"[['pencil-paper', '102'], ['thumbs-up-fill', '27']]","['Leatherhead, United Kingdom']",Shelley4096,Bottomless brunch with a view ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d12156905-r745907605-Bokan_37_Restaurant-London_England.html
