,answer_text,content,diner_date,id_comment,id_resto,other_ratings_category,other_ratings_value,rating,rating_date,resto,resto_url,reviewer_info_sup,reviewer_origin,reviewer_pseudo,title,url
0,,"['If there was a way of still giving stars in reviews, I would give this wonderful restaurant 5 stars. . . .several times over.', 'It was our 22nd anniversary so I planned a night out in Greenwich, firstly to visit an art installation on the peninsula and then to eat.', 'The look of this restaurant on google is what made my choice, as I wanted to be surprised with the food and go with no preconceptions.', 'Immediately as we arrived we were greeted by a lovely young lady who helped take our coats and bags. I walk with a stick so I struggle a bit, but she was conscious of this and remained calm and very attentive. Not being rushed is important to me.', 'We were shown to a widow seat with a prime view over the Thames to the docklands and surrounding areas. London does look so beautiful at night, so for us the night time panorama was a treat.', 'We were attended to by three people over the course of our meal, all of whom were well spoken, attentive, and did an amazing job of creating a feeling of calm professional welcome. ', 'We opted for the seven course Valentines menu, which was a taster type of thing.', 'The canapé came first with some fresh sour dough bread and freshly churned and seasoned butter. The bread was still warm...an instant winner!', 'Our second course was scallops, then a fish course, fourth dish was pidgeon, followed by veal as the fifth. The sixth dish was an apple crumble type sorbet, a brilliant and tasty way to freshen the palette after the veal. The meal was expertly topped of with a stunning dessert. Atleast we thought it had finished.', 'When we had finished our dessert a surprise dish was presented. I had mentioned in passing it was our 22nd anniversary when we first got there, in reply to a question from the young lady that took our coats when she asked if we had travelled far or were staying at the hotel.', 'She had obviously remembered this fact, as a special dessert dish was brought in with a Happy 22nd Anniversary wish written on the plate in white chocolate. ', 'Such attention really sealed what was already a perfect night for us.', ""The Chef was an artist. Each dish was beautifully crafted and set on the plate with a precision that can only be admired. We were asked several times during the meal what we thought of the Chef's creations, as apparently we were the first couple to order this menu. "", 'We could only mutter words of delight and taste driven rapture at the dishes put before us.', ""This was a fine dining experience, so please don't go assuming you will get a pig trough full of food. McDonald's is for that or indeed anyone with those kinds of expectations. I left satisfied rather than bursting at the seams, which is exactly as it should be. "", ""The Valentine's menu took us on a journey that was a taste experience as well as a visual treat. You could see in each plate the echoes of a story the Chef was trying to tell us. There was rhythm to each piece, like a symphony on a plate excellently conducted with the masterful wielding of a chef's knife. "", 'I genuinely could not praise the whole experience enough. I genuinely hope the Manger reads this and appreciates how good his staff are!', 'When the bill came there was a 12.5% discretionary service charge added that was about £24. It felt like that was not enough of a thank you for such an amazing and special evening, so I left an additional tip of £20 and our profuse thanks on the way out.', 'I was helped into my coat by the same young lady who greeted us when we arrived, she sent us off with a wish for many more happy anniversaries.', 'To be fair, going forward, they will have a high bar to reach after our wonderful night in your care.', 'Thank you to your wonderful staff and a big bravo to the Chef. ', 'Mr & Mrs Gregson.']", February 2020,g186338-d10148721-r745231468,g186338-d10148721,[],[],5,15 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '3'], ['thumbs-up-fill', '8']]",[],KevinMage,A 22nd Anniversary Meal,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r745231468-Peninsula_Restaurant-London_England.html
1,,"['This is a dining experience. The ambience is beautiful, the staff are friendly and attentive and the food is divine. A must for anyone who wants to try something different.']", December 2019,g186338-d10148721-r736319652,g186338-d10148721,[],[],5,2 January 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '214'], ['thumbs-up-fill', '80']]","['Horncastle, United Kingdom']",I2591RRnickw,Divine,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r736319652-Peninsula_Restaurant-London_England.html
2,,"['This was one of the weirdest restaurant visits we’ve had in a long while. First thing to say is that the food was delicious. Really, delicious. But the service was extraordinarily strange!', 'It was as if they’d rounded up a couple of blokes from the corridors of the O2 and given them a few quid to run front of house that night.', 'We first asked about the portion size of the tasting menu. We eat tasting menus when we go to top restaurants normally, because we love the range and it gives you a great picture of the chef’s talents. But, we didn’t want to have a bigger meal overall. So the first waiter told us that the portions are all full size. We asked again... are you sure?? Really? People eat 7 full size plates? “Yes, full size”. So we decided to go with the 3 course set menu. ', 'Then we asked about a substitution of a plate not available on the set menu, but on the tasting. A different waiter then said that this was difficult because the one we wanted was a “small plate... starter size”. Confused?? ', 'Then came one of the most inelegant episodes with wine I’ve ever experienced.', 'We ordered a pretty expensive red, and waiter number one asked if we wanted it decanted. Yes. ', 'Then waiter number 2 appeared and poured a tasting, lovely. Then proceeded before we could stop him, to pour large glasses for the 3 of us. No decanting. Bizarrely, he then asked if we wanted to decant they rest. What? Why? Gentle argument ensues.', 'Eventually he insists on decanting a 2nd bottle for us, even though we’ve said “no” because our food had arrived and we just wanted to be left in peace. ', 'So new bottle appears. Is opened and tasted and then disappears to be decanted. Old bottle also removed and we are left with our food and the original poured glasses. Then waiter 2 reappears and grabs the 3 glasses of wine (which we presume they will have to pour down the sink) and leaves us with food, and no wine. We finish our starters wine-free. Then the decanter appears and we get new glasses. ', 'The ELEGANT thing to do would have been to leave the poured glasses with us, at least until the new wine appeared. Ridiculous.', '3rd person appears, a female waiter who actually seems to know more of what she is doing. She serves us most of the rest of the meal, and gives the impression that she has at least been trained!!', 'The first 2 waiters had no idea about the menu, didn’t know answers to simple questions, one didn’t seem to understand enough English to even fully comprehend the questions. ', 'We were there with a friend and business colleague, and the whole evening was weird, in a mostly empty restaurant with at least 2 incompetent waiters. By the end of the evening we were finding it a bit funny to be honest. ', 'Not what we expect in an Intercontinental restaurant of this class. ']", February 2020,g186338-d10148721-r745182827,g186338-d10148721,[],[],3,15 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '75'], ['thumbs-up-fill', '36']]","['Exeter, United Kingdom']",405carynv,This was one of the weirdest,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r745182827-Peninsula_Restaurant-London_England.html
3,,"['Because there is no rating between ""Average"" and ""Very Good"" (for example ""Good""), I am (slightly reluctantly) giving it a rating of ""Average"". The food was Very Good indeed (beautiful presentation, tasty, fresh). However, our experience was completely spoilt by the service which was REALLY POOR, bordering on unacceptable, for a restaurant of this reputation, standing and price category. Almost empty restaurant, 2 male waiters (obviously lacking any basic training) and one female. One of the male waiters did not seem to know enough English to even understand some of the simple questions we asked. Between him and his other male colleague, they gave us completely opposite and contradictory answers to the same question about the size of the portions on the tasting menu compared to ""a la carte"". The only member of staff who had a minimum of professionalism and elegance was the female member of the front-of-house staff. Then came the surprising incident of the expensive red wine. For full details, see another review entitled ""This was one of the weirdest"" (the reviewer, who was one of the diners at our table that evening, has described in detail our unfortunate and unpleasant experience in more detail).']", February 2020,g186338-d10148721-r747353029,g186338-d10148721,"['Value', 'Service', 'Food']","['30', '20', '50']",3,24 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '150'], ['thumbs-up-fill', '97']]","['Woodbury, United Kingdom']",rubon,Delicious food. Sadly terrible service,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r747353029-Peninsula_Restaurant-London_England.html
4,,"['a really good dinner', 'the food is good', 'interesting and well thought out 7-courses option', 'wine list for connoisseurs', 'fair prices', 'really good guys in the room', 'the Italian one was very kind and made us taste an excellent wine for the first time', 'Californian', 'overall super experience', 'good']", February 2020,g186338-d10148721-r745231712,g186338-d10148721,[],[],5,15 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '8'], ['thumbs-up-fill', '4']]","['Mantua, Italy']",124lucal,Good job,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r745231712-Peninsula_Restaurant-London_England.html
5,,"['I went to this restaurant for dinner last night with my friend. The service we received was just amazing. The food was delicious, presentation outstanding, flavours of the food divine. I enjoyed myself so much I am now booked to go with my husband for Valentine’s Day! ']", February 2020,g186338-d10148721-r742412561,g186338-d10148721,[],[],5,1 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '98'], ['thumbs-up-fill', '97']]","['London, United Kingdom']",STRADBROKE,Delicious food! ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r742412561-Peninsula_Restaurant-London_England.html
6,,"['We visited last night with friends for the 7 course tasting menu after being bowled over by a previous visit but unfortunately we were left a little disappointed. ', 'The food in itself was very good (the stone bass was a particular hit) but having booked the 7 course tasting through Virgin I was disappointed to see that it was really 6 courses with small add ons (amuse Bouche & petit fours) with the cheese course charged at an additional £15. This was not the case last year and certainly an unwelcome surprise as this was not made clear at any stage. ', 'We also opted for the wine pairing at £60 per person and whereas previously the excellent sommelier Olga had talked us through the wines with tasting notes, in this case we were forced to ask what each wine was (in one case the waiter was MIA so we still have no idea) and the pairing wine for dessert was actually served after we had finished. ', 'A large party arrived to eat in the private dining room mid way through our meal and this made the initially attentive team somewhat elusive. ', 'Really unfortunate as it was something special but beginning to understand why there never seems to be more than 4 or 5 tables occupied as once. ']", February 2020,g186338-d10148721-r742544115,g186338-d10148721,[],[],3,2 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '5'], ['thumbs-up-fill', '1']]",[],Lucy O,Not as good as it used to be,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r742544115-Peninsula_Restaurant-London_England.html
7,,"['my experience at the peninsula surely exceeded our expectations', 'it was already recommended to us by our friends that they had had a great time ', 'We chose a tasting menu with wine pairings, all excellent and cared for, and the superb , attentive and highly professional service made our dinner perfect.', 'Every detail is taken care of, and as customers it feels unique', 'thanks, we will be back']", February 2020,g186338-d10148721-r745286155,g186338-d10148721,[],[],5,15 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '18'], ['thumbs-up-fill', '13']]","['Piacenza, Italy']",Anto144,Perfect 👌🏻,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r745286155-Peninsula_Restaurant-London_England.html
8,,"['I had the pleasure to visit the Peninsula restaurant for a work dinner last night. The restaurant is located on the top of the the hotel lobby, in a very luxurious setting whose charming atmosphere was enhanced by the spectacular view of Canary Wharf. I was recommended to got for the tasting menu by a member of staff who was very knowledgeable and made us feel at ease and comfortable at all times. When I asked for the wine, the waiter called over the Manager who was able to suggest and thoroughly explain the best options that would go very well with the food and that would meet our palate.', 'Regarding the food, the beef was beautifully done accompanied by a life-changing Bearnaise sauce. The dessert was superb and well thought-through, the ice cream on top had an infrequent but surprisingly nice greeny taste. its also worth mentioning the espresso i finished off with which was excellent. ', 'The staff was very nice and professional and managed to meet our requests and expectations. ', 'Definitely a Michelin-starred level restaurant. I am pretty sure they will get one in the soon, Keep up the good work!!', 'Overall a 5 star experience.']", February 2020,g186338-d10148721-r746267548,g186338-d10148721,"['Value', 'Service', 'Food']","['50', '50', '50']",5,20 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '1']]",[],cybersecurityUK,Sublime dinner from the starter all the way through dessert,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r746267548-Peninsula_Restaurant-London_England.html
9,,"[""I've booked Peninsula because was planning a day out in Greenwich, and wanted a descent dinner as the final step in many other indulgences. A £38 set menu looked quite attractive for a luxury dinner. I did had some certain level of expectations going to dine in Intercontinental, but the result was far beyond. "", ""We'd got a table next to the window with an amazing view: sparkling London skyline. Food was delicious, and service very attentive, but not intrusive, how it often happens in posh restaurants. "", 'Highly recommend for a romantic dinner - the settings make a perfect date night! ']", October 2019,g186338-d10148721-r747051465,g186338-d10148721,[],[],5,23 February 2020,Peninsula_Restaurant,/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,"[['pencil-paper', '55'], ['thumbs-up-fill', '17']]","['London, United Kingdom']",olgacorelli88,Outstanding food and service!,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d10148721-r747051465-Peninsula_Restaurant-London_England.html
